Hash,Git-User, Date/Time,ChangeMade
2ae8634,rutvik2611,Thu Nov 7 16:10:08 2019 -0500,Feature:Mean Test Using Csv file(Array3)
0ed0a14,rutvik2611,Thu Nov 7 16:08:46 2019 -0500,Feature:Exeption for mode function
5dbf169,rutvik2611,Tue Nov 5 17:39:14 2019 -0400,Fix:Seprated StatisticsTest and Extended Stat
aa7ea9b,rutvik2611,Tue Nov 5 17:25:11 2019 -0400,Fix:Re-Structred the code
fb81767,rutvik2611,Tue Nov 5 17:21:25 2019 -0400,Task:Relocated  files cinterval,extended sta,proportion ,pvalue ,sample mean and zscore
89adb7b,rutvik2611,Tue Nov 5 17:19:57 2019 -0400,Task:Mean,Median,mode and stdev files with function
944b9dc,rutvik2611,Tue Nov 5 17:15:57 2019 -0400,Task:Extended Stat
ebc7015,Chinedu Nnaji,Tue Nov 5 16:06:03 2019 -0500,Task: fixed after professor assessment
cd20210,Chinedu Nnaji,Tue Nov 5 16:04:24 2019 -0500,Task: fixed after professor assessment
10d398d,Chinedu Nnaji,Tue Nov 5 04:32:00 2019 -0500,Feature: added statistics computation modules
b463349,Chinedu Nnaji,Tue Nov 5 04:30:59 2019 -0500,Feature: added statistics computation modules
876f6e8,Chinedu Nnaji,Tue Nov 5 04:02:00 2019 -0500,task: check off items
8fc4adc,rutvik2611,Mon Nov 4 18:08:06 2019 -0400,Fix:Addition
cd2d6dc,rutvik2611,Mon Nov 4 18:02:00 2019 -0400,Fix:Relocated Cal2
dc7f8f3,rutvik2611,Mon Nov 4 18:01:32 2019 -0400,Fix:Relocated Cal2
137bacb,rutvik2611,Mon Nov 4 18:00:07 2019 -0400,Feature:z score,samplemean and population stander deviation (remoced new py)
c381b9e,rutvik2611,Mon Nov 4 17:58:59 2019 -0400,Feature:Made Median,mode,std deviation function
f31393f,rutvik2611,Mon Nov 4 17:57:58 2019 -0400,Feature:Made Mean function
af9cf15,Chinedu Nnaji,Mon Nov 4 16:15:46 2019 -0500,fix : added chinedu folder
5042620,rutvik2611,Mon Nov 4 16:49:06 2019 -0400,Check:TravisCI
21be464,rutvik2611,Mon Nov 4 16:44:17 2019 -0400,Feature:Population Stander Deviation
931fa6d,rutvik2611,Mon Nov 4 16:00:28 2019 -0400,Feature:Population Stander Deviation
3a67731,Chinedu Nnaji,Mon Nov 4 13:19:24 2019 -0500,fix:
d0a9ae8,Chinedu Nnaji,Mon Nov 4 13:19:04 2019 -0500,task: travis build
3fbb4a1,rutvik2611,Sun Nov 3 19:21:53 2019 -0400,Fix:Removed some prints from z score
2fcdfa6,rutvik2611,Sun Nov 3 19:20:40 2019 -0400,Fix:Removed some prints
bee6a7d,rutvik2611,Sun Nov 3 18:41:13 2019 -0400,Fix:Calculator Test
a35edbe,rutvik2611,Sun Nov 3 17:33:42 2019 -0400,Fix:Calculator Test
a1869a7,rutvik2611,Sun Nov 3 16:55:44 2019 -0400,Fix:Calculator Test(major)
876f247,rutvik2611,Sun Nov 3 16:40:51 2019 -0400,Fix:Sample_mean , zscore and sqrt(edge case)
f7e2567,rutvik2611,Sun Nov 3 00:10:36 2019 -0300,Feature:added sample mean(made some error square)
cef4409,rutvik2611,Sat Nov 2 22:22:07 2019 -0300,Feature:made read csv function
bb57a9a,rutvik2611,Sat Nov 2 22:21:58 2019 -0300,Feature:made read csv function
fd89920,rutvik2611,Sat Nov 2 17:31:12 2019 -0300,Feature:Added square and square root methods and seprated result file
ef861c8,rutvik2611,Sat Nov 2 17:15:51 2019 -0300,Feature:seprated addition,subtraction,multiplication and division
74c3796,rutvik2611,Fri Nov 1 19:11:17 2019 -0300,Fix:Added pandas to dockerfile
54475ca,rutvik2611,Fri Nov 1 19:11:01 2019 -0300,Fix:Added pandas to dockerfile
